# ProjectName,PlannedStart,PlannedEnd,PM,PMEmail,PMSkills,EmployeeName,EmployeeEmail,EmployeeTeam,EmployeeSkills
Route Reprocessing,05/21/2018,10/16/2018,Juan Carlos,juan.carlos@gmail.com,"Scrum,ITIL,XP",Bojack Horseman,bojack@gmail.com,Integration,"ETL,Stream Processing,Microsservices"
Route Reprocessing,05/21/2018,10/16/2018,Juan Carlos,juan.carlos@gmail.com,"Scrum,ITIL,XP",Mr. Peanut Butter,butter@gmail.com,Quality Assurance,"E2E Tests,Functional Tests,API Integration Tests"
Route Reprocessing,05/21/2018,10/16/2018,Juan Carlos,juan.carlos@gmail.com,"Scrum,ITIL,XP",Diane Nguyen,diane@gmail.com,Algorithm,"Graph Teory,Machine Learning,AI"
Route Reprocessing,05/21/2018,10/16/2018,Juan Carlos,juan.carlos@gmail.com,"Scrum,ITIL,XP",Princess Carolyn,carolyn@gmail.com,Infrastructure,"Linux,Docker,Nagios,Zabbix"
Route Reprocessing,05/21/2018,10/16/2018,Juan Carlos,juan.carlos@gmail.com,"Scrum,ITIL,XP",Todd Chavez,chavez@yahoo.com,Mobile,"Android,iOS,Cordova,Kotlin"
Route Reprocessing,05/21/2018,10/16/2018,Juan Carlos,juan.carlos@gmail.com,"Scrum,ITIL,XP",Pinky Penguin,penguin@outlook.com,Integration,"Kettle,ETL,SQL"
Route Reprocessing,05/21/2018,10/16/2018,Juan Carlos,juan.carlos@gmail.com,"Scrum,ITIL,XP",Herb Kazzaz,kazzaz@hotmail.com,Quality Assurance,"API Integration Tests,Manual Tests"
Track Company X,05/07/2018,07/16/2018,Anderson Mendes,anderson@gmail.com,"Scrum,Kanban,Lean Startup,XP",Nick Birch,birch@gmail.com,Architecture,"Microservices,Spring,Java 8,Scala"
Track Company X,05/07/2018,07/16/2018,Anderson Mendes,anderson@gmail.com,"Scrum,Kanban,Lean Startup,XP",Andrew Glouberman,glouberman@bol.com,Quality Assurance,"E2E Tests,Manual Tests,Black Box Tests"
Track Company X,05/07/2018,07/16/2018,Anderson Mendes,anderson@gmail.com,"Scrum,Kanban,Lean Startup,XP",Jessi Glaser,glaser@gmail.com,Resilience,"Prometheus,Spring Boot,Spring Cloud"
Track Company X,05/07/2018,07/16/2018,Anderson Mendes,anderson@gmail.com,"Scrum,Kanban,Lean Startup,XP",Jay Bilzerian,bilzerian@yahoo.com,Quality Assurance,"E2E Tests,Manual Tests,API Integration Tests"
Track Company X,05/07/2018,07/16/2018,Anderson Mendes,anderson@gmail.com,"Scrum,Kanban,Lean Startup,XP",Missy,missy@gmail.com,Integration,"Apache Kafka,Active MQ,Hadoop,Presto"
Track Company X,05/07/2018,07/16/2018,Anderson Mendes,anderson@gmail.com,"Scrum,Kanban,Lean Startup,XP",Maurice,maurice@gmail.com,Infrastructure,"AWS,Linux,GCP"
Track Company X,05/07/2018,07/16/2018,Anderson Mendes,anderson@gmail.com,"Scrum,Kanban,Lean Startup,XP",Connie,connie@gmail.com,Reports,"SQL,IReport,iText"
Track Company X,05/07/2018,07/16/2018,Anderson Mendes,anderson@gmail.com,"Scrum,Kanban,Lean Startup,XP",Rick,rick@yahoo.gmail.com,Architecture,"Docker,Kubernetes,AWS,Spring Boot"
